Desc,ID,Subj object id,Obj object id
"N. (Kind von Erzherzog Sigmund), Sophie Lucia (ID: 2524) hat Ehe mit Sargans, Rudolf von (ID: 2523)",3456,2524,2523
"Schweizer, Anna (ID: 2529) hat Ehe mit Wyß zu Platters, Hans (ID: 2528)",3465,2529,2528
"Seibersdorf, verh. Gneus, Cäcilia (ID: 2530) hat Ehe mit Gneus, Vigilius (ID: 2294)",3467,2530,2294
"Snäppl, Anna (ID: 2482) hat Ehe mit Snäppl, Christoph (ID: 2544)",3494,2482,2544
"Schlaher, Ursula (ID: 2545) hat Ehe mit Schlaher, N. (ID: 2546)",3496,2545,2546
"Haus, verh. von Landeck, Benedikta von (ID: 2560) hat Ehe mit Landeck, Jakob von (ID: 2558)",3523,2560,2558
"Göcking, Ulrich von (ID: 47) hat Ehe mit Senng, verh. Spieß, Anna (ID: 300)",3562,47,300
"Pernstetter, Thomas (ID: 2600) hat Ehe mit N. (Kind von Erzherzog Sigmund), Margarethe (ID: 2599)",3590,2600,2599
"N., verh. Pollinger, Margarethe (ID: 2602) hat Ehe mit Pollinger, Peter (ID: 2601)",3592,2602,2601
"Fuchsmagen, verh. Rindsmaul, Margarethe (ID: 2614) hat Ehe mit Rindsmaul, Hermann (ID: 2612)",3611,2614,2612
"Tänzl, Salome (ID: 2619) hat Ehe mit Kastner, Hans (ID: 61)",3618,2619,61
"Weineck, verh. Schidmann, Apollonia von (ID: 2623) hat Ehe mit Schidmann, Franz (ID: 85)",3624,2623,85
"Streun, Salome (ID: 2627) hat Ehe mit Firmian, Christoph von (ID: 1256)",3636,2627,1256
"Stöckl, Dorothea (ID: 2629) hat Ehe mit Maltitz, Hans von (ID: 2628)",3641,2629,2628
"Kripp, verh. Hamerspach, Dorothea (ID: 2635) hat Ehe mit Hamerspach, Ambros (ID: 2634)",3653,2635,2634
"Cavalli, Maria (ID: 2636) hat Ehe mit Hamerspach, Bartholomäus (ID: 2633)",3654,2636,2633
"Grienhofer, Katharina (ID: 2651) hat Ehe mit Grienhofer, Hermann (ID: 2650)",3671,2651,2650
"Greußhaber, Margarethe (ID: 2654) hat Ehe mit Grienhofer, Franz (ID: 2653)",3678,2654,2653
"N. (Schwager des N. Überlinger), Hans (ID: 2669) hat Ehe mit N. (Frau des Schwagers des N. Überlinger), N. (ID: 2671)",3716,2669,2671
"Lutacher, Apollonia (ID: 3047) hat Ehe mit Niedertor, Arnold von (ID: 228)",4653,3047,228
"N. (Frau des Jörg Krättler), N. (ID: 3226) hat Ehe mit Krättler, Jörg (ID: 769)",5101,3226,769
"Graf (der Jüngere), Hans (ID: 3227) hat Ehe mit N. (Frau des Hans Graf), N. (ID: 3229)",5104,3227,3229
"Imgreut, Heinz (ID: 3240) hat Ehe mit Imgreut, Ursula (ID: 3241)",5115,3240,3241
"Thun, verh. von Hack/Schintl/von Weineck, Dorothea von (ID: 3260) hat Ehe mit Weineck, Hildebrand von (ID: 949)",5158,3260,949
"Thun, verh. von Hack/Schintl/von Weineck, Dorothea von (ID: 3260) hat Ehe mit Schintl, Martin (ID: 2930)",5159,3260,2930
"Clävinger, verh. Fuchsmagen, Priska (ID: 3279) hat Ehe mit Fuchsmagen, Sigmund (ID: 2389)",5232,3279,2389
"Neideck, Anna von (ID: 3289) hat Ehe mit Neideck, Sigmund von (ID: 129)",5257,3289,129
"Thun, verh. von Schellenberg, Tschwenna von (ID: 3291) hat Ehe mit Schellenberg, Clemens von (ID: 3190)",5267,3291,3190
"Seibersdorf, verh. Gneus, Cäcilia (ID: 2530) hat Ehe mit Gneus, Vigilius (ID: 2294)",5282,2530,2294
"Krättler, Jörg (ID: 769) hat Ehe mit N. (Frau des Jörg Krättler), N. (ID: 3226)",5415,769,3226
"Graf (der Jüngere), Hans (ID: 3227) hat Ehe mit N. (Frau des Hans Graf), N. (ID: 3229)",5417,3227,3229
"Thurn, verh. Feigensteiner, Anastasia von (ID: 4849) hat Ehe mit Eglsee, genannt Feigensteiner, Stefan von (ID: 3175)",5618,4849,3175
"Schlandersberg, Kunigunde von (ID: 3458) hat Ehe mit Schlandersberg, Sigmund von (ID: 3329)",5627,3458,3329
"Holer, Hans (ID: 3480) hat Ehe mit Holer, Magdalena (ID: 3478)",5673,3480,3478
"Legalaise von Lamenay, Anna (ID: 3490) hat Ehe mit Tumbritzer, Balthasar (ID: 2571)",5699,3490,2571
"Halbsleben, verh. Gfeller, Martha (ID: 3497) hat Ehe mit Gfeller, Konrad (ID: 3496)",5724,3497,3496
"Krättler, Jörg (ID: 769) hat Ehe mit N. (Frau des Jörg Krättler), N. (ID: 3226)",5823,769,3226
"Graf (der Jüngere), Hans (ID: 3227) hat Ehe mit N. (Frau des Hans Graf), N. (ID: 3229)",5825,3227,3229
"von Freyberg, verh. Turndl, Martha (ID: 3623) hat Ehe mit Turndl, Matthias (ID: 2933)",6083,3623,2933
"Lider, Anna (ID: 3704) hat Ehe mit Lider, Hans (ID: 3595)",6292,3704,3595
"Neideck, Sigmund von (ID: 129) hat Ehe mit Neideck, Anna von (ID: 3289)",6304,129,3289
"Ivano, verh. Klieber, Anna von (ID: 3712) hat Ehe mit Klieber, Reichart (ID: 86)",6329,3712,86
"Turisan, geb. von Thun, Margarethe (ID: 3721) hat Ehe mit Turisan, Ulrich (ID: 1672)",6378,3721,1672
"Schachner, verh. Calaus, Walburga (ID: 3726) hat Ehe mit Calaus, Wenzel (ID: 1948)",6398,3726,1948
"Eicher, Hans (ID: 3666) hat Ehe mit Eicher, Anna (ID: 3807)",6677,3666,3807
"Brock, N. (ID: 3824) hat Ehe mit Brock, Kaspar (ID: 3823)",6744,3824,3823
"Thun, verh. von Hack/Schintl/von Weineck, Dorothea von (ID: 3260) hat Ehe mit Hack (der Ältere), Happe (ID: 3425)",7133,3260,3425
