Name,Vorname,Start,End,Alternative Namen,Status,ID,Geschlecht
Anich,Hans,,,"Anichen
Anichen von Curteͤtsch",,2391,männlich
Anich,Heinrich,,vor Mai 1486 <1486-05-20>,"Anichen
Anichen von Curteͤtsch
Annich","Noflatscher, Räte und Herrscher 42; Raitbuch 10, fol. 9v",304,männlich
Anich,Leonhard,,,"Anichen
Anichen von Curteͤtsch",,3562,männlich
Anich,Michael,,,Annichen,,8935,männlich
Anich,N.,,,Anichen,,1913,männlich
Anich,Veit,,,"Anichen
Annichen
Anichenn",,801,männlich
Ankaufer,Hans,,,Ankauffer,,11367,männlich
Ankelreut,Ulrich von,,,"Angkelrewͤt
Ankelreẃter
Angkelrewͤter
Angelrewter
von Anckenrút
Anckenreuͤter
Anckenreuter
Anknrewt
Annckerrewͤtter
Nauckenrewt
Nauckenreut
Nangkenreúter
Nagkenreúter
von Nangkenreút
Annichenrewͤter
Angkelreúter",Herr; Ritter,3627,männlich
Annenberg,Antoni von,,vor 26.01.1485 <1485-01-25>,"Annemberg
Annenberger",,2405,männlich
Annenberg,Gaudenz von,,,,,4336,männlich
Annenberg,Georg von,,vor 26.01.1485 <1485-01-25>,"Annenberger
von Annemberg
von Anneberg","Raitbuch 10, fol. 2r; 9r",162,männlich
Annenberg,Hans von,,,,,3770,männlich
Annenberg,Heinrich von,,,,,2404,männlich
Annenberg,N. von,,,,,12109,männlich
Annenberg,Parzival von,,vor 1464-08-22 <1464-08-22>,"Annemberg
Anenberg
Anennberg",,1468,männlich
Annenberg,Sigmund von,,,,,4335,männlich
"Annenberg, verh. Schenk von Schenkenstein",Helena von,,,,,3054,weiblich
Anpassin,Dorothea,,,Anpóssin,,9499,männlich
Anreuter,Hans,,,Anrewtter,,11799,männlich
Anreuter,Konrad,,,"Aurewter
Anrewter",,4590,männlich
Anreuter,N.,,,Anrewͤter,,11798,männlich
Ansorg,Hans,,,Ansorg von Wellenberg,,12231,männlich
Ansorg,Heinrich,,,Onsorg,,12460,männlich
Antonius,Peter,,,"Anthonius von Pernn
Anthonii",,3601,männlich
Änzinger,Lukas,,,Aͤntzinger,,7244,männlich
Ärb,Johannes,,,Árb,Herr,10945,männlich
Arben,Hans von,,,Arban,,6568,männlich
Arco,Andreas von,,,,Graf,3851,männlich
Arco,Antoni von,,,Arkh,Graf,5152,männlich
Arco,Franz von,,,"Arch
Arkh",Graf,2913,männlich
Arco,N. von,,,Argk,Graf,6220,männlich
Arco,Ulrich von,,,,Graf,3852,männlich
Arenkofer,Hans,,,,,10939,männlich
Armbruster,Hans,,,Armproster,,9111,männlich
Armbruster,Michael,,,,,9059,männlich
Arnold,Christoph,,,Arnolten von Toblach,,12787,männlich
Arnold,Hans,,,"Kamerknecht
Camerknecht
Arnolt
Kamerchnecht
Kammerknecht",,277,männlich
Artner,Martin,,,Artnner,,6851,männlich
Ärtzingen,Georg von,,,"Árczingen
Ártzingen
Arczingen",,360,männlich
Ärtzingen,N. von,,,Artzingen,,11955,männlich
Ärtzingen,Simon von,,,"Aͤrtzingen
Erczingen
Arczingen",,5850,männlich
"Ärtzingen, geb. Truchsess von Hufingen",Barbara von,,,Aͤrtzingerin,,5849,weiblich
Arz,Friedrich von,,,"Arczer
Arczt",,2408,männlich
Arz,Hans von,,,,,2410,männlich
